"","specimen","slippage","loads"
"spec1.1","spec1",0,0
"spec2.1","spec2",0,0
"spec3.1","spec3",0,0
"spec4.1","spec4",0,0
"spec5.1","spec5",0,0
"spec6.1","spec6",0,0
"spec7.1","spec7",0,0
"spec8.1","spec8",0,0
"spec1.2","spec1",0.1,2.38
"spec2.2","spec2",0.1,2.69
"spec3.2","spec3",0.1,2.85
"spec4.2","spec4",0.1,2.46
"spec5.2","spec5",0.1,2.97
"spec6.2","spec6",0.1,3.96
"spec7.2","spec7",0.1,3.17
"spec8.2","spec8",0.1,3.36
"spec1.3","spec1",0.2,4.34
"spec2.3","spec2",0.2,4.75
"spec3.3","spec3",0.2,4.89
"spec4.3","spec4",0.2,4.28
"spec5.3","spec5",0.2,4.68
"spec6.3","spec6",0.2,6.46
"spec7.3","spec7",0.2,5.33
"spec8.3","spec8",0.2,5.45
"spec1.4","spec1",0.3,6.64
"spec2.4","spec2",0.3,7.04
"spec3.4","spec3",0.3,6.61
"spec4.4","spec4",0.3,5.88
"spec5.4","spec5",0.3,6.66
"spec6.4","spec6",0.3,8.14
"spec7.4","spec7",0.3,7.14
"spec8.4","spec8",0.3,7.08
"spec1.5","spec1",0.4,8.05
"spec2.5","spec2",0.4,9.2
"spec3.5","spec3",0.4,8.09
"spec4.5","spec4",0.4,7.43
"spec5.5","spec5",0.4,8.11
"spec6.5","spec6",0.4,9.35
"spec7.5","spec7",0.4,8.29
"spec8.5","spec8",0.4,8.32
"spec1.6","spec1",0.5,9.78
"spec2.6","spec2",0.5,10.94
"spec3.6","spec3",0.5,9.72
"spec4.6","spec4",0.5,8.32
"spec5.6","spec5",0.5,9.64
"spec6.6","spec6",0.5,10.72
"spec7.6","spec7",0.5,9.86
"spec8.6","spec8",0.5,9.91
"spec1.7","spec1",0.6,10.97
"spec2.7","spec2",0.6,12.23
"spec3.7","spec3",0.6,11.03
"spec4.7","spec4",0.6,9.92
"spec5.7","spec5",0.6,11.06
"spec6.7","spec6",0.6,11.84
"spec7.7","spec7",0.6,11.07
"spec8.7","spec8",0.6,11.06
"spec1.8","spec1",0.7,12.05
"spec2.8","spec2",0.7,13.19
"spec3.8","spec3",0.7,12.14
"spec4.8","spec4",0.7,11.1
"spec5.8","spec5",0.7,12.25
"spec6.8","spec6",0.7,12.85
"spec7.8","spec7",0.7,12.13
"spec8.8","spec8",0.7,12.21
"spec1.9","spec1",0.8,12.98
"spec2.9","spec2",0.8,14.08
"spec3.9","spec3",0.8,13.18
"spec4.9","spec4",0.8,12.23
"spec5.9","spec5",0.8,13.35
"spec6.9","spec6",0.8,13.83
"spec7.9","spec7",0.8,13.15
"spec8.9","spec8",0.8,13.16
"spec1.10","spec1",0.9,13.94
"spec2.10","spec2",0.9,14.66
"spec3.10","spec3",0.9,14.12
"spec4.10","spec4",0.9,13.24
"spec5.10","spec5",0.9,14.54
"spec6.10","spec6",0.9,14.85
"spec7.10","spec7",0.9,14.09
"spec8.10","spec8",0.9,14.05
"spec1.11","spec1",1,14.74
"spec2.11","spec2",1,15.37
"spec3.11","spec3",1,15.09
"spec4.11","spec4",1,14.19
"spec5.11","spec5",1,15.53
"spec6.11","spec6",1,15.79
"spec7.11","spec7",1,15.11
"spec8.11","spec8",1,14.96
"spec1.12","spec1",1.2,16.13
"spec2.12","spec2",1.2,16.89
"spec3.12","spec3",1.2,16.68
"spec4.12","spec4",1.2,16.07
"spec5.12","spec5",1.2,17.38
"spec6.12","spec6",1.2,17.39
"spec7.12","spec7",1.2,16.69
"spec8.12","spec8",1.2,16.24
"spec1.13","spec1",1.4,17.98
"spec2.13","spec2",1.4,17.78
"spec3.13","spec3",1.4,17.94
"spec4.13","spec4",1.4,17.43
"spec5.13","spec5",1.4,18.76
"spec6.13","spec6",1.4,18.44
"spec7.13","spec7",1.4,17.69
"spec8.13","spec8",1.4,17.34
"spec1.14","spec1",1.6,19.52
"spec2.14","spec2",1.6,18.41
"spec3.14","spec3",1.6,18.22
"spec4.14","spec4",1.6,18.36
"spec5.14","spec5",1.6,19.81
"spec6.14","spec6",1.6,19.46
"spec7.14","spec7",1.6,18.71
"spec8.14","spec8",1.6,18.23
"spec1.15","spec1",1.8,19.97
"spec2.15","spec2",1.8,18.97
"spec3.15","spec3",1.8,19.4
"spec4.15","spec4",1.8,18.93
"spec5.15","spec5",1.8,20.62
"spec6.15","spec6",1.8,20.05
"spec7.15","spec7",1.8,19.54
"spec8.15","spec8",1.8,18.87
