Name,Year,WindMPH,AffectedStates,Deaths,Sex,DamageMillions
Easy,1950,120,FL,2,F,32
King,1950,130,FL,4,M,275
Able,1952,85,SC,3,M,25
Barbara,1953,85,NC,1,F,9
Florence,1953,85,FL,0,F,2
Carol,1954,120,"NC,NY,CT,RI",60,F,4051
Edna,1954,120,"MA,ME",20,F,352
Hazel,1954,145,"SC,NC,MD",20,F,2473
Connie,1955,120,"NC,VA",0,F,353
Diane,1955,85,NC,200,F,1767
Ione,1955,120,NC,7,M,778
Flossy,1956,105,"LA,MS,AL,FL",15,F,218
Audrey,1957,145,"TX,LA",416,F,1264
Helene,1958,120,NC,1,F,92
Debra,1959,85,TX,0,F,57
Gracie,1959,120,SC,22,F,114
Donna,1960,145,"FL,NC,NY,CT,RI,MA,NH,ME",50,F,3091
Ethel,1960,85,MS,0,F,8
Carla,1961,145,TX,46,F,2573
Cindy,1963,85,TX,3,F,97
Cleo,1964,105,FL,3,F,981
Dora,1964,105,FL,5,F,1909
Hilda,1964,120,LA,37,F,955
Isbell,1964,105,FL,3,F,76
Betsy,1965,120,"FL,LA",75,F,10671
Alma,1966,105,FL,6,F,73
Inez,1966,85,FL,3,F,37
Beulah,1967,120,TX,15,F,1418
Gladys,1968,105,FL,3,F,46
Camille,1969,190,"LA,MS",256,F,9167
Celia,1970,120,TX,22,F,2770
Fern,1971,85,TX,2,F,177
Edith,1971,105,LA,0,F,146
Ginger,1971,85,NC,0,F,58
Agnes,1972,85,"FL,NY,CT,PA",117,F,11895
Carmen,1974,120,LA,1,F,720
Eloise,1975,120,"FL,AL",21,F,2156
Belle,1976,85,NY,5,F,416
Babe,1977,85,LA,0,F,39
Bob,1979,85,LA,1,M,65
David,1979,105,"FL,GA,SC",15,M,1044
Frederic,1979,120,"AL, MS",5,M,7501
Allen,1980,115,TX,2,M,862
Alicia,1983,115,TX,21,F,4754
Diana,1984,110,NC,3,F,148
Bob,1985,75,SC,0,M,44
Danny,1985,90,LA,1,M,110
Elena,1985,115,"MS,AL,FL",4,F,2750
Gloria,1985,120,"NC,NY,CT,NH.ME",8,F,1980
Juan,1985,85,LA,12,M,3301
Kate,1985,100,"FL,GA",5,F,660
Bonnie,1986,85,TX,3,F,4
Charley,1986,75,NC,5,M,32
Floyd,1987,75,FL,0,M,1
Florence,1988,80,LA,1,F,6
Chantal,1989,80,TX,13,F,191
Hugo,1989,140,"SC,NC",21,M,13365
Jerry,1989,85,TX,3,M,134
Bob,1991,105,"RI,MA,NY,CT",15,M,2607
Andrew,1992,170,"FL,LA",62,M,42188
Emily,1993,115,NC,3,F,57
Erin,1995,100,"FL,FL",6,F,1087
Opal,1995,115,"FL,AL",9,F,4661
Bertha,1996,105,NC,8,F,407
Fran,1996,115,NC,26,F,4829
Danny,1997,80,"LA,AL",10,M,148
Bonnie,1998,110,NC,3,F,1046
Earl,1998,80,FL,3,M,115
Georges,1998,105,"FL,MS",1,M,3355
Bret,1999,115,TX,0,M,85
Floyd,1999,105,NC,56,M,6395
Irene,1999,80,FL,8,F,1137
Lili,2002,90,LA,2,F,1132
Claudette,2003,90,TX,3,F,232
Isabel,2003,105,"NC,VA",51,F,4337
Alex,2004,80,NC,1,M,5
Charley,2004,150,"FL,SC,NC",10,M,17046
Gaston,2004,75,SC,8,M,163
Frances,2004,105,FL,7,F,11280
Ivan,2004,120,"AL,FL",25,M,17798
Jeanne,2004,120,FL,5,F,8648
Cindy,2005,75,LA,1,F,388
Dennis,2005,120,"FL,AL",15,M,2703
Katrina,2005,125,"LA,MS,FL,AL",1836,F,98195
Ophelia,2005,75,NC,1,F,85
Rita,2005,115,"LA,TX,FL",62,F,12123
Wilma,2005,120,FL,5,F,24973
Humberto,2007,90,"TX,LA",1,M,57
Dolly,2008,85,TX,1,F,1155
Gustav,2008,105,LA,52,M,4729
Ike,2008,110,"TX,LA",84,M,21223
Irene,2011,75,"NC,VA,MD,DE,NJ,NY,MA",41,F,7368
Isaac,2012,80,LA,5,M,2423
Sandy,2012,75,NY,159,F,51561
